artikelnummer;artikelbezeichnung;preis;einheit;kategorie;marke;bild
100BJZ382;WECHSELRICHTER a-TroniX 6.0 (6.0 kW) inkl. Montage;3756,5;€/Stk.;Wechselrichter hybrid;a-Tronix;19
100BJZ383;WECHSELRICHTER a-TroniX 8.0 (8.0 kW) inkl. Montage;3859,2;€/Stk.;Wechselrichter hybrid;a-Tronix;19
100BJZ384;WECHSELRICHTER a-TroniX 10.0 (10.0 kW) inkl. Montage;3935,5;€/Stk.;Wechselrichter hybrid;a-Tronix;19
100BJZ385;WECHSELRICHTER a-TroniX 12.0 (12.0 kW) inkl. Montage;3985,4;€/Stk.;Wechselrichter hybrid;a-Tronix;19
100BJY029;AX Plus WECHSELRICHTER a-TroniX 5.0 (5.0 kW) inkl. Montage;3927,4;€/Stk.;Wechselrichter hybrid;a-Tronix;20
100BJY030;AX Plus WECHSELRICHTER a-TroniX 6.0 (6.0 kW) inkl. Montage;3990,5;€/Stk.;Wechselrichter hybrid;a-Tronix;20
100BJY031;AX Plus WECHSELRICHTER a-TroniX 8.0 (8.0 kW) inkl. Montage;4093,2;€/Stk.;Wechselrichter hybrid;a-Tronix;20
100BJY032;AX Plus WECHSELRICHTER a-TroniX 10.0 (10.0 kW) inkl. Montage;4169,5;€/Stk.;Wechselrichter hybrid;a-Tronix;20
100BJY033;AX Plus WECHSELRICHTER a-TroniX 12.0 (12.0 kW) inkl. Montage;4219,4;€/Stk.;Wechselrichter hybrid;a-Tronix;20
100BJY034;AX Plus WECHSELRICHTER a-TroniX 15.0 (15.0 kW) inkl. Montage;4275,5;€/Stk.;Wechselrichter hybrid;a-Tronix;20
100BJY035;5,8 kWh - BATTERIESPEICHER a-TroniX inkl. Montage;3495,5;€/Stk.;Batteriespeicher;a-Tronix;21
100BJY036;8,6 kWh - BATTERIESPEICHER a-TroniX inkl. Montage;4737,5;€/Stk.;Batteriespeicher;a-Tronix;21
100BJY037;11,5 kWh - BATTERIESPEICHER a-TroniX inkl. Montage;5979,5;€/Stk.;Batteriespeicher;a-Tronix;21
100BJY038;14,4 kWh - BATTERIESPEICHER a-TroniX inkl. Montage;7221,4;€/Stk.;Batteriespeicher;a-Tronix;21
100BJY039;17,3 kWh - BATTERIESPEICHER a-TroniX inkl. Montage;8463,4;€/Stk.;Batteriespeicher;a-Tronix;21
100BJY040;20,2 kWh - BATTERIESPEICHER a-TroniX inkl. Montage;9705,4;€/Stk.;Batteriespeicher;a-Tronix;21
100BJY041;5,0 kWh - BATTERIESPEICHER a-TroniX - Wandmontage inkl. Montage;2513,82;€/Stk.;Batteriespeicher;a-Tronix;22
100BJY042;a-TroniX Energiemanager inkl. Montage;776,1;€/Stk.;Batteriespeicher;a-Tronix;23
100BJW825;6,3 kWh - BATTERIESPEICHER Fronius inkl. Montage;4962,2;€/Stk.;Batteriespeicher;Fronius;24
100BJW826;9,5 kWh - BATTERIESPEICHER Fronius inkl. Montage;6345;€/Stk.;Batteriespeicher;Fronius;24
100BJW827;12,6 kWh - BATTERIESPEICHER Fronius inkl. Montage;7736;€/Stk.;Batteriespeicher;Fronius;24
100BJW828;15,8 kWh - BATTERIESPEICHER Fronius inkl. Montage;9125,1;€/Stk.;Batteriespeicher;Fronius;24
100BJW819;Smart Meter TS 5kA-3 inkl. Montage;399,1;€/Stk.;Batteriespeicher;Fronius;26
100BJW820;Smart Meter IP inkl. Montage;545,44;€/Stk.;Batteriespeicher;Fronius;27
100BJY043;Wallbox a-TroniX 11 kW AX-11KP1 inkl. Montage;1273,2;€/Stk.;Wallbox;a-Tronix;25
100BJY044;Wallbox a-TroniX 22 kW AX-22KP1 inkl. Montage;1350,4;€/Stk.;Wallbox;a-Tronix;25
100BJW803;SMA Hybrid-Wechselrichter 5.0 (5.0 kW) inkl. Montage;5402,5;€/Stk.;Wechselrichter hybrid;SMA;29
H66TG220001;SMA Hybrid-Wechselrichter 6.0 (6.0 kW) inkl. Montage;5511,4;€/Stk.;Wechselrichter hybrid;SMA;29
H66TG220501;SMA Hybrid-Wechselrichter 8.0 (8.0 kW) inkl. Montage;5696,1;€/Stk.;Wechselrichter hybrid;SMA;29
H66TG221001;SMA Hybrid-Wechselrichter 10.0 (10.0 kW) inkl. Montage;5910,6;€/Stk.;Wechselrichter hybrid;SMA;29
100BJW804;Batteriespeicher SMA - 3,2 kWh inkl. Montage;2452,5;€/Stk.;Batteriespeicher;SMA;30
100BJW805;Batteriespeicher SMA - 6,0 kWh inkl. Montage;4628,1;€/Stk.;Batteriespeicher;SMA;30
100BJW806;Batteriespeicher SMA - 8,0 kWh inkl. Montage;6569,6;€/Stk.;Batteriespeicher;SMA;30
100BJW807;Batteriespeicher SMA - 10,0 kWh inkl. Montage;10452,7;€/Stk.;Batteriespeicher;SMA;30
100BKH651;Wallbox SMA Smart eCharger inkl. Montage;2409,5;€/Stk.;Wallbox;SMA;30
H66TG330001;Heizstab 1,75 kW inkl. Montage;1092,1;€/Stk.;Heizstab;Handelsmarke;36
H66TG330501;Heizstab 3,5 kW inkl. Montage;1179,5;€/Stk.;Heizstab;Handelsmarke;36
H66TG331001;Heizstab 4,4 kW inkl. Montage;1208,6;€/Stk.;Heizstab;Handelsmarke;36
H66TG331501;Heizstab 5,2 kW inkl. Montage;1220,7;€/Stk.;Heizstab;Handelsmarke;36
H66TG230001;Wechselrichter Huawei 3.0 (3.0kW) inkl. Montage;2715;€/Stk.;Wechselrichter hybrid;Huawei;37
H66TG230501;Wechselrichter Huawei 4.0 (4.0kW) inkl. Montage;3240,8;€/Stk.;Wechselrichter hybrid;Huawei;37
H66TG231001;Wechselrichter Huawei 5.0 (5.0kW) inkl. Montage;3230,1;€/Stk.;Wechselrichter hybrid;Huawei;37
H66TG231501;Wechselrichter Huawei 6.0 (6.0kW) inkl. Montage;3427,8;€/Stk.;Wechselrichter hybrid;Huawei;37
H66TG232001;Wechselrichter Huawei 8.0 (8.0kW) inkl. Montage;3376,6;€/Stk.;Wechselrichter hybrid;Huawei;37
H66TG232501;Wechselrichter Huawei 10.0 (10.0kW) inkl. Montage;3651,7;€/Stk.;Wechselrichter hybrid;Huawei;37
100BKG118;Wechselrichter Huawei 12.0 (12.0kW) inkl. Montage;5127,6;€/Stk.;Wechselrichter hybrid;Huawei;37
100BKG119;Wechselrichter Huawei 25.0 (25.0kW) inkl. Montage;6116,7;€/Stk.;Wechselrichter hybrid;Huawei;37
H66TG320001;Batteriespeicher Huawei 5,0 kWh inkl. Montage;5108,2;€/Stk.;Batteriespeicher;Huawei;38
100BKG121;Batteriespeicher Huawei 7,0 kWh inkl. Montage;6716,7;€/Stk.;Batteriespeicher;Huawei;38
100BKG930;Batteriespeicher Huawei 10,0 kWh inkl. Montage;8207,6;€/Stk.;Batteriespeicher;Huawei;38
100BKG122;Batteriespeicher Huawei 14,0 kWh inkl. Montage;11115,7;€/Stk.;Batteriespeicher;Huawei;38
100BKG931;Batteriespeicher Huawei 15,0 kWh inkl. Montage;11307;€/Stk.;Batteriespeicher;Huawei;38
100BKG123;Batteriespeicher Huawei 21,0 kWh inkl. Montage;15514,8;€/Stk.;Batteriespeicher;Huawei;38
H66TG320501;Erweiterung Huawei Speicher 5,0 kWh inkl. Montage;2998,3;€/Stk.;Batteriespeicher;Huawei;39
H66TG321001;Backup-Box Huwaei 3000 VA inkl. Montage;1556,7;€/Stk.;Batteriespeicher;Huawei;40
H66TG251501;Wallbox Huawei Smart Charger AC inkl. Montage;1615,8;€/Stk.;Wallbox;Huawei;41
H66TG303501;Wartung;563,5;€/Stk.;Dienstleistung;;
H66TG500001;Beratungspauschale;310;€/Stk.;Dienstleistung;;
H66TG500501;detaillierten Planung;186;€/Stk.;Dienstleistung;;
H66TG502001;Entfernungspauschale ab 125 km;496;€ pauschal;Entfernungspauschale;;
H66TG502501;Entfernungspauschale ab 200 km;744;€ pauschal;Entfernungspauschale;;
H66TG503001;Entfernungspauschale ab 300 km;992;€ pauschal;Entfernungspauschale;;
;Informationen zu Errichtung von Photovoltaikanlagen:;;;Technische Hinweise;;
;Für die Montage der Photovoltaikmodule muss in der Regel die Arbeitsstelle auf dem Dach durch ein Gerüst gesichert werden.;;;Technische Hinweise;;
;Des Weiteren muss ein sicherer Platz zur Lagerung der Module auf dem Dach oder dem Gerüst geschaffen werden.;;;Technische Hinweise;;
;Dies muss bauseitig erfolgen. Nach vorheriger Absprache können diese Arbeiten auch von unserem Dienstleister kostenpflichtig übernommen werden.;;;Technische Hinweise;;
;Wenn Veränderungen am Bestandsteil der Elektroanlage von unserem Dienstleister vorgenommen werden, wird die Anlage vor Wiederinbetriebnahme durch eine Sichtprüfung und elektrotechnischen Messungen auf Mängel überprüft.;;;Technische Hinweise;;
;Sollten im Zuge dessen Fehler auftauchen, behält sich unser Dienstleister vor, für die betroffenen Anlagenteile keine Haftung zu übernehmen.;;;Technische Hinweise;;
;Grundsätzlich ist unserem Dienstleister, wenn vorhanden, das Prüf-/Messprotokoll der Elektrofachkraft, die zuletzt Änderungen an der Elektroanlage ausgeführt hat, vorzulegen.;;;Technische Hinweise;;
;Bei Nachrüstung eines Fehlerstromschutzschalters in älteren Stromkreisen kann es aufgrund eines alten Installationsstandards zu Komplikationen führen, die eine Fehlersuche nach sich ziehen.;;;Technische Hinweise;;
;Diese Fehlersuche ist nicht Bestandteil des Angebotes und wird nach tatsächlichem Aufwand berechnet.;;;Technische Hinweise;;
;Die Abrechnung der Fehlersuche erfolgt pro angefangene Viertelstunde zu 69,00 EUR/h.;;;Technische Hinweise;;
;Es muss dafür Sorge getragen werden, dass ein reibungsloser Ablauf der nötigen Arbeiten möglich ist.;;;Technische Hinweise;;
;Stromkreise müssen problemlos abschaltbar sein.;;;Technische Hinweise;;
;Der kurzzeitige Ausfall von Betriebsmitteln ist während der Arbeiten unseres Dienstleisters möglich, somit ist keine Betriebssicherheit gegeben.;;;Technische Hinweise;;
;Die Stromkreisverteiler und Arbeitsplätze müssen frei zugänglich sein.;;;Technische Hinweise;;
;Wichtiger Hinweis für Dächer mit Pappdocken:;;;Technische Hinweise;;
;Bei Dächern mit Pappdocken kann es beim Anheben der Dachpfannen und dem Setzen der Dachhaken unter Umständen zu Beschädigungen an den vorhandenen Pappdocken kommen (Alter, Porosität, etc.).;;;Technische Hinweise;;
;Die durch unseren Dienstleister offensichtlich beschädigten Pappdocken werden selbstverständlich auf seine Kosten ausgetaucht. Für alle weiteren Leistungen ist bauseits ein Dachdecker hinzuzuziehen.;;;Technische Hinweise;;
;Eine Haftungsübernahme oder das Ausstellen einer Garantie zur späteren Dichtigkeit des Daches ist nicht Bestandteil des Angebotes und somit ausdrücklich ausgeschlossen.;;;Technische Hinweise;;
;Sofern erst im späteren Projektverlauf der Dachaufbau inkl. Pappdocken erkennbar wird, ohne dass im Angebot ausdrücklich darauf hingewiesen wurde, wird durch den entstandenen Mehraufwand eine Neukalkulation erforderlich.;;;Technische Hinweise;;
;Hinweise zu Statik:;;;Technische Hinweise;;
;Der Leistungsumfang unseres Dienstleisters beinhaltet keine statische Prüfung der baulichen Gegebenheiten.;;;Technische Hinweise;;
;Mit Beauftragung des Angebotes bestätigen Sie die bauseitige Prüfung und statische Freigabe der von unserem Dienstleister angebotenen Leistungen.;;;Technische Hinweise;;
