Ort;Plz;Bundesland;lat;lng;km
Ahlerstedt;21702;Niedersachsen;53,3860276;9,4317006;45
Ahlsdorf;4916;Brandenburg;51,7208106;13,2298038;296
Ahlsdorf;6313;Sachsen-Anhalt;51,5341655;11,4822912;244
Ahlstädt;98553;Thüringen;50,5367454;10,7450312;339
Ahlum;38489;Sachsen-Anhalt;52,6840481;11,0160892;116
Ahnatal;34292;Hessen;51,3647405;9,3936175;247
Ahneby;24996;Schlewig-Holstein;54,7135041;9,7358843;131
Ahnsbeck;29353;Niedersachsen;52,6113242;10,2845828;106
Ahnsen;31708;Niedersachsen;52,2587802;9,0971466;157
Aholfing;94345;Bayern;48,9376029;12,4764249;540
Aholming;94527;Bayern;48,735078;12,911873;571
Ahorn;74744;Baden-Württemberg;49,4919864;9,5380279;453
Ahorn;96482;Bayern;50,2372714;10,9540866;374
Ahorntal;95491;Bayern;49,8357858;11,4230117;424
Ahrain;83739;Bayern;51,165691;10,451526;267
Ahrbrück;53506;Rheinland-Pfalz;50,4825163;6,9864472;400
Ahrensbök;23623;Schlewig-Holstein;54,0034766;10,5536419;60
Ahrensburg;22926;Schlewig-Holstein;53,6744402;10,2353838;18
Ahrensdorf;14974;Brandenburg;52,2780825;13,2569144;257
Ahrensdorf;15864;Brandenburg;52,2158612;14,0083547;304
Ahrensfelde;16356;Brandenburg;52,6205567;13,6740512;263
Ahrenshagen;18320;Mecklenburg-Vorpommern;54,232833;12,623599;185
Ahrenshöft;25853;Schlewig-Holstein;54,5807377;9,0463376;132
Ahrenstedt;24787;Schlewig-Holstein;54,3051694;9,5888138;89
Ahrenviöl;25885;Schlewig-Holstein;54,5098669;9,2306568;119
Ahrenviölfeld;25885;Schlewig-Holstein;54,5098669;9,2306568;119
Aicha;94529;Bayern;48,6723603;13,2892349;588
Aichach;86551;Bayern;48,4425292;11,1182466;573
Aichat;83565;Bayern;48,0215561;12,03508;630
Aichberg;83329;Bayern;47,9440312;12,6999395;651
Aichelberg;73101;Baden-Württemberg;48,6363881;9,5635443;548
Aichen;86479;Bayern;48,2308289;10,5333868;593
Aichhalden;78733;Baden-Württemberg;48,2668357;8,4022751;599
Aichstetten;88317;Baden-Württemberg;47,887081;10,067443;630
Aichtal;72631;Baden-Württemberg;48,6248974;9,2418574;551
Aichwald;73773;Baden-Württemberg;48,7616844;9,3891294;535
Aichwies;83329;Bayern;47,9440312;12,6999395;651
Aidenbach;94501;Bayern;48,5698499;13,0693851;593
Aidhausen;97491;Bayern;50,1543351;10,4356843;379
Aidlingen;71134;Baden-Württemberg;48,6884647;8,8855667;547
Aiglsbach;84089;Bayern;48,6971784;11,7142701;552
Ailertchen;56459;Rheinland-Pfalz;50,5507945;7,9308976;364
Aindling;86447;Bayern;48,5145403;10,8961853;563
Ainring;83404;Bayern;47,8168221;12,9362681;669
Aislingen;89344;Bayern;48,506539;10,4559658;562
Aiterhofen;94330;Bayern;48,8450742;12,619974;553
Aitern;79677;Baden-Württemberg;47,7792497;7,8938329;659
Aiteröd;84137;Bayern;48,4377729;12,3430106;591
Aitrach;88319;Baden-Württemberg;47,9322945;10,0644851;625
Aitrang;87648;Bayern;47,8177155;10,5347019;638
Aitzendorf;9326;Sachsen;51,0778024;12,9057027;337
Aken;6385;Sachsen-Anhalt;51,839326;12,0438973;233
Alach;99100;Thüringen;51,0744909;10,8554092;281
Alach;99100;Thüringen;51,0744909;10,8554092;281
Albaching;83544;Bayern;48,1095945;12,1061347;622
Albbruck;79774;Baden-Württemberg;47,6247779;8,1176948;673
Albernhof;93449;Bayern;49,3783242;12,7058119;499
